	bc1 num	count	frac	cumulative	index
2304	demo_bc1_1_bc2_35_bc3_52	0	0.0	1.0000000000000004	174
2305	demo_bc1_2_bc2_35_bc3_52	0	0.0	1.0000000000000004	175
2307	demo_bc1_4_bc2_35_bc3_52	0	0.0	1.0000000000000004	176
2319	demo_bc1_16_bc2_35_bc3_52	0	0.0	1.0000000000000004	177
2308	demo_bc1_5_bc2_35_bc3_52	0	0.0	1.0000000000000004	178
2309	demo_bc1_6_bc2_35_bc3_52	0	0.0	1.0000000000000004	179
2310	demo_bc1_7_bc2_35_bc3_52	0	0.0	1.0000000000000004	180
2311	demo_bc1_8_bc2_35_bc3_52	0	0.0	1.0000000000000004	181
2312	demo_bc1_9_bc2_35_bc3_52	0	0.0	1.0000000000000004	182
2313	demo_bc1_10_bc2_35_bc3_52	0	0.0	1.0000000000000004	183
2314	demo_bc1_11_bc2_35_bc3_52	0	0.0	1.0000000000000004	184
2315	demo_bc1_12_bc2_35_bc3_52	0	0.0	1.0000000000000004	185
2316	demo_bc1_13_bc2_35_bc3_52	0	0.0	1.0000000000000004	186
2317	demo_bc1_14_bc2_35_bc3_52	0	0.0	1.0000000000000004	187
2318	demo_bc1_15_bc2_35_bc3_52	0	0.0	1.0000000000000004	188
2349	demo_bc1_46_bc2_35_bc3_52	0	0.0	1.0000000000000004	189
2350	demo_bc1_47_bc2_35_bc3_52	0	0.0	1.0000000000000004	190
2351	demo_bc1_48_bc2_35_bc3_52	0	0.0	1.0000000000000004	191
2392	demo_bc1_89_bc2_35_bc3_52	0	0.0	1.0000000000000004	192
2381	demo_bc1_78_bc2_35_bc3_52	0	0.0	1.0000000000000004	193
2382	demo_bc1_79_bc2_35_bc3_52	0	0.0	1.0000000000000004	194
2383	demo_bc1_80_bc2_35_bc3_52	0	0.0	1.0000000000000004	195
2384	demo_bc1_81_bc2_35_bc3_52	0	0.0	1.0000000000000004	196
2385	demo_bc1_82_bc2_35_bc3_52	0	0.0	1.0000000000000004	197
2386	demo_bc1_83_bc2_35_bc3_52	0	0.0	1.0000000000000004	198
2387	demo_bc1_84_bc2_35_bc3_52	0	0.0	1.0000000000000004	199
2388	demo_bc1_85_bc2_35_bc3_52	0	0.0	1.0000000000000004	200
2389	demo_bc1_86_bc2_35_bc3_52	0	0.0	1.0000000000000004	201
2390	demo_bc1_87_bc2_35_bc3_52	0	0.0	1.0000000000000004	202
2391	demo_bc1_88_bc2_35_bc3_52	0	0.0	1.0000000000000004	203
2393	demo_bc1_90_bc2_35_bc3_52	0	0.0	1.0000000000000004	204
2379	demo_bc1_76_bc2_35_bc3_52	0	0.0	1.0000000000000004	205
2394	demo_bc1_91_bc2_35_bc3_52	0	0.0	1.0000000000000004	206
2395	demo_bc1_92_bc2_35_bc3_52	0	0.0	1.0000000000000004	207
2396	demo_bc1_93_bc2_35_bc3_52	0	0.0	1.0000000000000004	208
2503	demo_bc1_8_bc2_24_bc3_55	0	0.0	1.0000000000000004	209
2398	demo_bc1_95_bc2_35_bc3_52	0	0.0	1.0000000000000004	210
2399	demo_bc1_96_bc2_35_bc3_52	0	0.0	1.0000000000000004	211
2400	demo_bc1_1_bc2_88_bc3_52	0	0.0	1.0000000000000004	212
2401	demo_bc1_2_bc2_88_bc3_52	0	0.0	1.0000000000000004	213
2402	demo_bc1_3_bc2_88_bc3_52	0	0.0	1.0000000000000004	214
2403	demo_bc1_4_bc2_88_bc3_52	0	0.0	1.0000000000000004	215
2404	demo_bc1_5_bc2_88_bc3_52	0	0.0	1.0000000000000004	216
2380	demo_bc1_77_bc2_35_bc3_52	0	0.0	1.0000000000000004	217
2378	demo_bc1_75_bc2_35_bc3_52	0	0.0	1.0000000000000004	218
2352	demo_bc1_49_bc2_35_bc3_52	0	0.0	1.0000000000000004	219
2364	demo_bc1_61_bc2_35_bc3_52	0	0.0	1.0000000000000004	220
2353	demo_bc1_50_bc2_35_bc3_52	0	0.0	1.0000000000000004	221
2354	demo_bc1_51_bc2_35_bc3_52	0	0.0	1.0000000000000004	222
2355	demo_bc1_52_bc2_35_bc3_52	0	0.0	1.0000000000000004	223
2356	demo_bc1_53_bc2_35_bc3_52	0	0.0	1.0000000000000004	224
2357	demo_bc1_54_bc2_35_bc3_52	0	0.0	1.0000000000000004	225
2358	demo_bc1_55_bc2_35_bc3_52	0	0.0	1.0000000000000004	226
2359	demo_bc1_56_bc2_35_bc3_52	0	0.0	1.0000000000000004	227
2360	demo_bc1_57_bc2_35_bc3_52	0	0.0	1.0000000000000004	228
2361	demo_bc1_58_bc2_35_bc3_52	0	0.0	1.0000000000000004	229
2362	demo_bc1_59_bc2_35_bc3_52	0	0.0	1.0000000000000004	230
2363	demo_bc1_60_bc2_35_bc3_52	0	0.0	1.0000000000000004	231
2365	demo_bc1_62_bc2_35_bc3_52	0	0.0	1.0000000000000004	232
2377	demo_bc1_74_bc2_35_bc3_52	0	0.0	1.0000000000000004	233
2366	demo_bc1_63_bc2_35_bc3_52	0	0.0	1.0000000000000004	234
2367	demo_bc1_64_bc2_35_bc3_52	0	0.0	1.0000000000000004	235
2368	demo_bc1_65_bc2_35_bc3_52	0	0.0	1.0000000000000004	236
2369	demo_bc1_66_bc2_35_bc3_52	0	0.0	1.0000000000000004	237
2370	demo_bc1_67_bc2_35_bc3_52	0	0.0	1.0000000000000004	238
2371	demo_bc1_68_bc2_35_bc3_52	0	0.0	1.0000000000000004	239
2372	demo_bc1_69_bc2_35_bc3_52	0	0.0	1.0000000000000004	240
2373	demo_bc1_70_bc2_35_bc3_52	0	0.0	1.0000000000000004	241
2374	demo_bc1_71_bc2_35_bc3_52	0	0.0	1.0000000000000004	242
2375	demo_bc1_72_bc2_35_bc3_52	0	0.0	1.0000000000000004	243
2376	demo_bc1_73_bc2_35_bc3_52	0	0.0	1.0000000000000004	244
2502	demo_bc1_7_bc2_24_bc3_55	0	0.0	1.0000000000000004	245
2513	demo_bc1_18_bc2_24_bc3_55	0	0.0	1.0000000000000004	246
2504	demo_bc1_9_bc2_24_bc3_55	0	0.0	1.0000000000000004	247
2618	demo_bc1_27_bc2_26_bc3_57	0	0.0	1.0000000000000004	248
2648	demo_bc1_57_bc2_26_bc3_57	0	0.0	1.0000000000000004	249
2649	demo_bc1_58_bc2_26_bc3_57	0	0.0	1.0000000000000004	250
2650	demo_bc1_59_bc2_26_bc3_57	0	0.0	1.0000000000000004	251
2651	demo_bc1_60_bc2_26_bc3_57	0	0.0	1.0000000000000004	252
2652	demo_bc1_61_bc2_26_bc3_57	0	0.0	1.0000000000000004	253
2653	demo_bc1_62_bc2_26_bc3_57	0	0.0	1.0000000000000004	254
2654	demo_bc1_63_bc2_26_bc3_57	0	0.0	1.0000000000000004	255
2655	demo_bc1_64_bc2_26_bc3_57	0	0.0	1.0000000000000004	256
2656	demo_bc1_65_bc2_26_bc3_57	0	0.0	1.0000000000000004	257
2657	demo_bc1_66_bc2_26_bc3_57	0	0.0	1.0000000000000004	258
2658	demo_bc1_67_bc2_26_bc3_57	0	0.0	1.0000000000000004	259
2659	demo_bc1_68_bc2_26_bc3_57	0	0.0	1.0000000000000004	260
2660	demo_bc1_69_bc2_26_bc3_57	0	0.0	1.0000000000000004	261
2661	demo_bc1_70_bc2_26_bc3_57	0	0.0	1.0000000000000004	262
2662	demo_bc1_71_bc2_26_bc3_57	0	0.0	1.0000000000000004	263
2663	demo_bc1_72_bc2_26_bc3_57	0	0.0	1.0000000000000004	264
2664	demo_bc1_73_bc2_26_bc3_57	0	0.0	1.0000000000000004	265
2665	demo_bc1_74_bc2_26_bc3_57	0	0.0	1.0000000000000004	266
2666	demo_bc1_75_bc2_26_bc3_57	0	0.0	1.0000000000000004	267
2667	demo_bc1_76_bc2_26_bc3_57	0	0.0	1.0000000000000004	268
2668	demo_bc1_77_bc2_26_bc3_57	0	0.0	1.0000000000000004	269
2669	demo_bc1_78_bc2_26_bc3_57	0	0.0	1.0000000000000004	270
2670	demo_bc1_79_bc2_26_bc3_57	0	0.0	1.0000000000000004	271
2671	demo_bc1_80_bc2_26_bc3_57	0	0.0	1.0000000000000004	272
2672	demo_bc1_81_bc2_26_bc3_57	0	0.0	1.0000000000000004	273
2647	demo_bc1_56_bc2_26_bc3_57	0	0.0	1.0000000000000004	274
2646	demo_bc1_55_bc2_26_bc3_57	0	0.0	1.0000000000000004	275
2645	demo_bc1_54_bc2_26_bc3_57	0	0.0	1.0000000000000004	276
2631	demo_bc1_40_bc2_26_bc3_57	0	0.0	1.0000000000000004	277
2620	demo_bc1_29_bc2_26_bc3_57	0	0.0	1.0000000000000004	278
2621	demo_bc1_30_bc2_26_bc3_57	0	0.0	1.0000000000000004	279
2622	demo_bc1_31_bc2_26_bc3_57	0	0.0	1.0000000000000004	280
2623	demo_bc1_32_bc2_26_bc3_57	0	0.0	1.0000000000000004	281
2624	demo_bc1_33_bc2_26_bc3_57	0	0.0	1.0000000000000004	282
2625	demo_bc1_34_bc2_26_bc3_57	0	0.0	1.0000000000000004	283
2626	demo_bc1_35_bc2_26_bc3_57	0	0.0	1.0000000000000004	284
2627	demo_bc1_36_bc2_26_bc3_57	0	0.0	1.0000000000000004	285
2628	demo_bc1_37_bc2_26_bc3_57	0	0.0	1.0000000000000004	286
2629	demo_bc1_38_bc2_26_bc3_57	0	0.0	1.0000000000000004	287
2630	demo_bc1_39_bc2_26_bc3_57	0	0.0	1.0000000000000004	288
2632	demo_bc1_41_bc2_26_bc3_57	0	0.0	1.0000000000000004	289
2644	demo_bc1_53_bc2_26_bc3_57	0	0.0	1.0000000000000004	290
2633	demo_bc1_42_bc2_26_bc3_57	0	0.0	1.0000000000000004	291
2634	demo_bc1_43_bc2_26_bc3_57	0	0.0	1.0000000000000004	292
2635	demo_bc1_44_bc2_26_bc3_57	0	0.0	1.0000000000000004	293
2636	demo_bc1_45_bc2_26_bc3_57	0	0.0	1.0000000000000004	294
2637	demo_bc1_46_bc2_26_bc3_57	0	0.0	1.0000000000000004	295
2638	demo_bc1_47_bc2_26_bc3_57	0	0.0	1.0000000000000004	296
2639	demo_bc1_48_bc2_26_bc3_57	0	0.0	1.0000000000000004	297
2640	demo_bc1_49_bc2_26_bc3_57	0	0.0	1.0000000000000004	298
2641	demo_bc1_50_bc2_26_bc3_57	0	0.0	1.0000000000000004	299
2642	demo_bc1_51_bc2_26_bc3_57	0	0.0	1.0000000000000004	300
2643	demo_bc1_52_bc2_26_bc3_57	0	0.0	1.0000000000000004	301
2673	demo_bc1_82_bc2_26_bc3_57	0	0.0	1.0000000000000004	302
2674	demo_bc1_83_bc2_26_bc3_57	0	0.0	1.0000000000000004	303
2675	demo_bc1_84_bc2_26_bc3_57	0	0.0	1.0000000000000004	304
2717	demo_bc1_30_bc2_9_bc3_61	0	0.0	1.0000000000000004	305
2706	demo_bc1_19_bc2_9_bc3_61	0	0.0	1.0000000000000004	306
2707	demo_bc1_20_bc2_9_bc3_61	0	0.0	1.0000000000000004	307
2708	demo_bc1_21_bc2_9_bc3_61	0	0.0	1.0000000000000004	308
2709	demo_bc1_22_bc2_9_bc3_61	0	0.0	1.0000000000000004	309
2710	demo_bc1_23_bc2_9_bc3_61	0	0.0	1.0000000000000004	310
2711	demo_bc1_24_bc2_9_bc3_61	0	0.0	1.0000000000000004	311
2712	demo_bc1_25_bc2_9_bc3_61	0	0.0	1.0000000000000004	312
2713	demo_bc1_26_bc2_9_bc3_61	0	0.0	1.0000000000000004	313
2714	demo_bc1_27_bc2_9_bc3_61	0	0.0	1.0000000000000004	314
2715	demo_bc1_28_bc2_9_bc3_61	0	0.0	1.0000000000000004	315
2716	demo_bc1_29_bc2_9_bc3_61	0	0.0	1.0000000000000004	316
2718	demo_bc1_31_bc2_9_bc3_61	0	0.0	1.0000000000000004	317
2704	demo_bc1_17_bc2_9_bc3_61	0	0.0	1.0000000000000004	318
2719	demo_bc1_32_bc2_9_bc3_61	0	0.0	1.0000000000000004	319
2720	demo_bc1_33_bc2_9_bc3_61	0	0.0	1.0000000000000004	320
2721	demo_bc1_34_bc2_9_bc3_61	0	0.0	1.0000000000000004	321
2722	demo_bc1_35_bc2_9_bc3_61	0	0.0	1.0000000000000004	322
2723	demo_bc1_36_bc2_9_bc3_61	0	0.0	1.0000000000000004	323
2724	demo_bc1_37_bc2_9_bc3_61	0	0.0	1.0000000000000004	324
2725	demo_bc1_38_bc2_9_bc3_61	0	0.0	1.0000000000000004	325
2726	demo_bc1_39_bc2_9_bc3_61	0	0.0	1.0000000000000004	326
2727	demo_bc1_40_bc2_9_bc3_61	0	0.0	1.0000000000000004	327
2728	demo_bc1_41_bc2_9_bc3_61	0	0.0	1.0000000000000004	328
2729	demo_bc1_42_bc2_9_bc3_61	0	0.0	1.0000000000000004	329
2705	demo_bc1_18_bc2_9_bc3_61	0	0.0	1.0000000000000004	330
2703	demo_bc1_16_bc2_9_bc3_61	0	0.0	1.0000000000000004	331
2676	demo_bc1_85_bc2_26_bc3_57	0	0.0	1.0000000000000004	332
2689	demo_bc1_2_bc2_9_bc3_61	0	0.0	1.0000000000000004	333
2677	demo_bc1_86_bc2_26_bc3_57	0	0.0	1.0000000000000004	334
2678	demo_bc1_87_bc2_26_bc3_57	0	0.0	1.0000000000000004	335
2679	demo_bc1_88_bc2_26_bc3_57	0	0.0	1.0000000000000004	336
2680	demo_bc1_89_bc2_26_bc3_57	0	0.0	1.0000000000000004	337
2681	demo_bc1_90_bc2_26_bc3_57	0	0.0	1.0000000000000004	338
2682	demo_bc1_91_bc2_26_bc3_57	0	0.0	1.0000000000000004	339
